FBgID,CPTI,gene_name,figure_id,RNA_NMJ_axon,protein_NMJ_axon,Localized RNA,Localized Protein,,Both,RNA only,Protein only,,figure_id,Is RNA present in axon terminal?,,,figure_id,Is protein present in axon terminal?,,,,Is RNA present in post synaptic density?,,,,Is protein present in post synaptic density?,
FBgn0261617,CPTI000727,nej,2138211,no,no,,,,,,,,2138212,No,1,,2138212,No,1,,,No,,,,No,
FBgn0264078,CPTI001427,Flo-2,2138212,no,no,,,,,,,,2138213,No,1,,2138213,No,1,,,Yes,,,,No,
FBgn0011592,CPTI001309,fra,2138213,no,no,,,,,,,,2138214,No,1,,2138214,No,1,,,No,,,,No,
FBgn0001215,CPTI003669,Hrb98DE,2138214,no,no,,,,,,,,2138215,No,1,,2138215,No,1,,,No,,,,No,
FBgn0031294,CPTI100013,ia2,2138215,no,no,,,,,,,,2138216,Yes,0,,2138216,No,1,,,Yes,,,,No,
FBgn0051363,CPTI003917,Jupiter,2138216,no,no,,,,,,,,2138217,No,1,,2138217,No,1,,,Yes,,,,No,
FBgn0040207,CPTI001430,kat80,2138217,no,no,,,,,,,,2138218,Yes,0,,2138218,No,1,,,Yes,,,,No,
FBgn0004456,CPTI001678,Mew,2138218,no,no,,,,,,,,2138219,No,1,,2138219,Yes,0,,,No,,,,No,
FBgn0016685,CPTI003532,Nlp,2138219,no,no,,,,,,,,2138220,Yes,0,,2138220,No,1,,,No,,,,No,
FBgn0026250,CPTI002562,eIF-1A,2138220,no,no,,,,,,,,2138221,Yes,0,,2138221,Yes,0,,,Yes,,,,Yes,
FBgn0031990,CPTI100044,PAPLA1,2138222,no,no,,,,,,,,2138222,No,1,,2138222,No,1,,,No,,,,No,
FBgn0000635,CPTI001279,Fas2,2138224,no,no,,,,,,,,2138223,Yes,0,,2138223,Yes,0,,,Yes,,,,No,
FBgn0022382,CPTI001580,Pka-R2,2138226,no,no,,,,,,,,2138224,No,1,,2138224,No,1,,,No,,,,No,
FBgn0028622,CPTI001414,Qsm,2138230,no,no,,,,,,,,2138225,No,1,,2138225,No,1,,,Yes,,,,Yes,
FBgn0001987,CPTI002805,Gli,2138232,no,no,,,,,,,,2138226,No,1,,2138226,No,1,,,Yes,,,,No,
FBgn0001145,CPTI001918,Gs2,2138234,no,no,,,,,,,,2138227,No,1,,2138227,No,1,,,Yes,,,,Yes,
FBgn0267376,CPTI001015,SelR,2138235,no,no,,,,,,,,2138228,No,1,,2138228,No,1,,,Yes,,,,Yes,
FBgn0016977,CPTI001595,spen,2138236,no,no,,,,,,,,2138230,No,1,,2138230,No,1,,,No,,,,No,
FBgn0011224,CPTI002406,heph,2138237,no,no,,,,,,,,2138231,Yes,0,,2138231,Yes,0,,,Yes,,,,No,
FBgn0015774,CPTI000748,NetB,2138240,no,no,,,,,,,,2138232,No,1,,2138232,No,1,,,No,,,,No,
FBgn0004167,CPTI001728,kst,2138242,no,no,,,,,,,,2138234,Yes,0,,2138234,Yes,0,,,Yes,,,,No,
FBgn0041789,CPTI000161,Pax,2138244,no,no,,,,,,,,2138235,Yes,0,,2138235,No,1,,,Yes,,,,No,
FBgn0263930,CPTI001039,dally,2138261,no,no,,,,,,,,2138236,Yes,0,,2138236,No,1,,,Yes,,,,No,
FBgn0004878,CPTI000199,Cas,2138269,no,no,,,,,,,,2138237,Yes,0,,2138237,No,1,,,No,,,,No,
FBgn0263396,CPTI000239,sqd,2138270,no,no,,,,,,,,2138238,No,1,,2138238,Yes,0,,,Yes,,,,Yes,
FBgn0003041,CPTI000850,pbl,2138273,no,no,,,,,,,,2138239,Yes,0,,2138239,Yes,0,,,Yes,,,,No,
FBgn0029687,CPTI002292,Vap-33-1,2140570,no,no,,,,,,,,2138240,No,1,,2138240,No,1,,,No,,,,No,
FBgn0000636,CPTI000833,Fas3,2140571,no,no,,,,,,,,2138242,No,1,,2138242,No,1,,,No,,,,No,
FBgn0259176,CPTI004166,bun,2140582,no,no,,,,,,,,2138244,No,1,,2138244,No,1,,,No,,,,Yes,
FBgn0005777,CPTI001194,PpD3,2137842,no,yes,,,,,,,,2138261,No,1,,2138261,No,0,,,No,,,,No,
FBgn0266579,CPTI000194,tau,2138096,no,yes,,,,,,,,2138269,No,1,,2138269,No,0,,,Yes,,,,No,
FBgn0262733,CPTI000567,Src64B,2138111,no,yes,,,,,,,,2138270,No,1,,2138270,No,0,,,Yes,,,,No,
FBgn0020443,CPTI000609,Elf,2138113,no,yes,,,,,,,,2138273,No,1,,2138273,No,0,,,No,,,,No,
FBgn0265434,CPTI002907,zip,2138122,no,yes,,,,,,,,2139921,Yes,0,,2139921,Yes,1,,,Yes,,,,No,
FBgn0003165,CPTI002853,pum,2138163,no,yes,,,,,,,,2140570,No,1,,2140570,No,0,,,Non applicable / Missing Image,,,,No,
FBgn0014007,CPTI001880,Ptp69D,2138228,no,yes,,,,,,,,2140571,No,1,,2140571,No,0,,,Non applicable / Missing Image,,,,No,
FBgn0285937,CPTI004394,Rab1,2138231,no,yes,,,,,,,,2140582,No,1,,2140582,No,0,,,No,,,,No,
FBgn0010415,CPTI002578,sdc,2142954,no,yes,,,,,,,,2142954,Yes,0,,2142954,Yes,1,,,No,,,,Yes,
,,,,17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,77,,,,49,,,,,,,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,118,,,,,
,,,,,,,,,,,,,,,72,,,,,,,,,,,,
